iter	Passed	Remaining
596	3002	22142
597	3004	22119
598	3009	22111
599	3014	22105
600	3017	22086
601	3020	22067
602	3024	22057
603	3030	22056
604	3033	22039
605	3039	22038
606	3045	22042
607	3049	22026
608	3052	22009
609	3057	22001
610	3063	22009
611	3067	21995
612	3072	21988
613	3079	21999
614	3083	21985
615	3088	21977
616	3093	21974
617	3099	21977
618	3103	21963
619	3107	21955
620	3111	21941
621	3117	21943
622	3122	21936
623	3127	21931
624	3131	21917
625	3136	21916
626	3141	21911
627	3145	21896
628	3148	21882
629	3156	21893
630	3159	21878
631	3163	21865
632	3167	21851
633	3175	21864
634	3178	21852
635	3182	21836
636	3186	21827
637	3193	21833
638	3197	21818
639	3201	21809
640	3206	21802
641	3212	21804
642	3215	21789
643	3219	21777
644	3225	21777
645	3232	21786
646	3236	21775
647	3240	21760
648	3243	21747
649	3249	21744
650	3254	21741
651	3257	21725
652	3265	21737
653	3271	21739
654	3274	21724
655	3278	21708
656	3301	21824
657	3305	21810
658	3308	21796
659	3316	21806
660	3324	21823
661	3328	21808
662	3336	21824
663	3342	21829
664	3347	21819
665	3352	21817
666	3355	21801
667	3358	21782
668	3361	21762
669	3366	21754
670	3370	21744
671	3373	21727
672	3376	21709
673	3380	21699
674	3386	21697
675	3389	21681
676	3392	21660
677	3396	21648
678	3400	21642
679	3404	21628
680	3407	21609
681	3410	21592
682	3415	21585
683	3419	21579
684	3422	21560
685	3425	21541
686	3430	21538
687	3435	21529
688	3438	21511
689	3441	21494
690	3445	21484
691	3450	21478
692	3452	21460
693	3455	21442
694	3459	21430
695	3465	21427
696	3468	21412
697	3471	21394
698	3473	21375
699	3480	21383
700	3484	21367
701	3486	21349
702	3489	21330
703	3494	21321
704	3498	21313
705	3501	21296
706	3504	21278
707	3508	21270
708	3513	21264
709	3517	21250
710	3519	21233
711	3523	21222
712	3529	21219
713	3532	21205
714	3535	21188
715	3539	21174
716	3543	21170
717	3547	21156
718	3550	21138
719	3553	21121
720	3557	21115
721	3562	21107
722	3565	21091
723	3568	21074
724	3572	21066
725	3577	21061
726	3580	21046
727	3583	21028
728	3587	21016
729	3591	21005
730	3595	20994
731	3598	20981
732	3601	20964
733	3605	20954
734	3610	20951
735	3613	20937
736	3616	20920
737	3621	20912
738	3625	20906
739	3629	20892
740	3631	20874
741	3635	20864
742	3641	20861
743	3644	20850
744	3647	20834
745	3650	20817
746	3654	20805
747	3659	20799
748	3662	20785
749	3664	20768
750	3668	20758
751	3673	20753
752	3676	20738
753	3679	20721
754	3682	20707
755	3686	20694
756	3692	20695
757	3695	20682
758	3699	20671
759	3704	20669
760	3708	20657
761	3711	20644
762	3716	20638
763	3720	20626
764	3723	20612
765	3727	20601
766	3735	20614
767	3738	20601
768	3742	20591
769	3746	20580
770	3751	20577
771	3754	20564
772	3757	20548
773	3760	20531
774	3766	20531
775	3769	20520
776	3773	20508
777	3778	20504
778	3785	20511
779	3788	20499
780	3796	20508
781	3802	20512
782	3806	20501
783	3813	20507
784	3818	20502
785	3823	20499
786	3828	20496
787	3833	20489
788	3836	20477
789	3841	20473
790	3847	20470
791	3850	20460
792	3854	20449
793	3862	20460
794	3867	20454
795	3870	20441
796	3874	20430
797	3882	20444
798	3886	20436
799	3891	20431
800	3898	20438
801	3908	20457
802	3917	20474
803	3923	20478
804	3929	20479
805	3933	20469
806	3937	20457
807	3946	20472
808	3949	20461
809	3953	20449
810	3957	20443
811	3964	20448
812	3967	20435
813	3972	20426
814	3976	20421
815	3980	20407
816	3982	20391
817	3985	20376
818	3990	20371
819	3995	20367
820	3998	20353
821	4001	20338
822	4005	20329
823	4010	20323
824	4013	20310
825	4016	20294
826	4019	20283
827	4024	20278
828	4028	20266
829	4031	20252
830	4033	20237
831	4039	20235
832	4043	20227
833	4046	20212
834	4049	20198
835	4054	20194
836	4058	20187
837	4062	20175
838	4065	20160
839	4069	20152
840	4074	20147
841	4077	20134
842	4080	20120
843	4083	20109
844	4089	20108
845	4092	20095
846	4095	20081
847	4098	20066
848	4106	20075
849	4109	20063
850	4113	20052
851	4117	20045
852	4122	20040
853	4125	20029
854	4129	20019
855	4135	20018
856	4139	20012
857	4143	20001
858	4150	20009
859	4155	20002
860	4157	19987
861	4160	19972
862	4163	19957
863	4169	19957
864	4173	19948
865	4176	19935
866	4179	19921
867	4185	19922
868	4189	19914
869	4192	19901
870	4195	19886
871	4200	19884
872	4204	19877
873	4207	19863
874	4210	19849
875	4214	19843
876	4220	19840
877	4223	19827
878	4226	19812
879	4230	19805
880	4235	19800
881	4238	19788
882	4241	19774
883	4245	19765
884	4250	19761
885	4253	19749
886	4256	19736
887	4259	19722
888	4263	19716
889	4268	19711
890	4271	19698
891	4273	19683
892	4277	19674
893	4281	19663
894	4284	19651
895	4287	19637
896	4290	19624
897	4293	19614
898	4298	19609
899	4301	19594
900	4304	19581
901	4307	19567
902	4310	19559
903	4313	19545
904	4316	19532
905	4319	19517
906	4322	19503
907	4325	19494
908	4328	19480
909	4331	19466
910	4333	19453
911	4336	19440
912	4339	19426
913	4343	19418
914	4346	19404
915	4349	19390
916	4351	19376
917	4354	19363
918	4358	19353
919	4361	19340
920	4363	19326
921	4366	19313
922	4369	19300
923	4373	19291
924	4376	19279
925	4379	19266
926	4381	19252
927	4384	19240
928	4387	19226
929	4390	19216
930	4394	19204
931	4396	19191
932	4399	19178
933	4402	19166
934	4406	19155
935	4409	19144
936	4411	19130
937	4414	19117
938	4417	19106
939	4420	19094
940	4423	19082
941	4426	19069
942	4429	19055
943	4432	19044
944	4434	19030
945	4438	19020
946	4441	19008
947	4444	18995
948	4447	18983
949	4449	18970
950	4453	18959
951	4456	18948
952	4458	18935
953	4461	18922
954	4464	18909
955	4467	18896
956	4470	18886
957	4473	18875
958	4476	18863
959	4479	18851
960	4482	18838
961	4485	18827
962	4488	18815
963	4491	18804
964	4494	18791
965	4497	18780
966	4499	18767
967	4503	18758
968	4506	18747
969	4510	18737
970	4513	18727
971	4516	18715
972	4520	18709
973	4523	18699
974	4527	18689
975	4530	18680
976	4534	18671
977	4538	18664
978	4541	18653
979	4546	18651
980	4550	18643
981	4554	18636
982	4557	18624
983	4560	18611
984	4562	18599
985	4566	18588
986	4570	18581
987	4573	18572
988	4576	18560
989	4579	18547
990	4582	18538
991	4587	18534
992	4590	18524
993	4593	18512
994	4596	18500
995	4601	18498
996	4605	18491
997	4608	18481
998	4611	18469
999	4616	18465
1000	4620	18460
1001	4624	18451
1002	4627	18439
1003	4631	18432
1004	4638	18436
1005	4641	18427
1006	4645	18419
1007	4652	18424
1008	4656	18417
1009	4659	18408
1010	4667	18416
1011	4672	18413
1012	4675	18403
1013	4685	18420
1014	4690	18415
1015	4695	18413
1016	4701	18414
1017	4705	18405
1018	4710	18401
1019	4717	18405
1020	4720	18398
1021	4724	18388
1022	4731	18395
1023	4736	18389
1024	4739	18379
1025	4745	18381
1026	4749	18373
1027	4753	18365
1028	4757	18360
1029	4764	18364
1030	4767	18353
1031	4770	18341
1032	4777	18347
1033	4781	18339
1034	4784	18328
1035	4787	18319
1036	4794	18320
1037	4797	18311
1038	4799	18298
1039	4802	18287
1040	4807	18285
1041	4811	18277
1042	4814	18266
1043	4817	18254
1044	4825	18263
1045	4829	18255
1046	4832	18245
1047	4836	18238
1048	4841	18235
1049	4844	18226
1050	4848	18219
1051	4855	18220
1052	4858	18211
1053	4863	18206
1054	4874	18228
1055	4879	18222
1056	4885	18225
1057	4890	18222
1058	4894	18213
1059	4897	18202
1060	4901	18197
1061	4906	18193
1062	4909	18183
1063	4912	18172
1064	4915	18160
1065	4920	18157
1066	4924	18151
1067	4927	18140
1068	4930	18129
1069	4934	18124
1070	4939	18120
1071	4942	18109
1072	4945	18098
1073	4948	18090
1074	4951	18080
1075	4954	18069
1076	4959	18066
1077	4964	18062
1078	4967	18051
1079	4970	18039
1080	4974	18034
1081	4979	18031
1082	4982	18020
1083	4985	18009
1084	4989	18003
1085	4994	18001
1086	4997	17991
1087	5000	17981
1088	5003	17969
1089	5008	17967
1090	5012	17960
1091	5015	17949
1092	5018	17938
1093	5023	17935
1094	5027	17930
1095	5030	17920
1096	5033	17908
1097	5037	17902
1098	5043	17901
1099	5046	17891
1100	5049	17881
1101	5053	17875
1102	5059	17874
1103	5062	17864
1104	5065	17853
1105	5069	17846
1106	5073	17840
1107	5076	17833
1108	5079	17822
1109	5082	17811
1110	5087	17809
1111	5092	17804
1112	5095	17793
1113	5097	17783
1114	5102	17778
1115	5107	17775
1116	5110	17765
1117	5113	17756
1118	5118	17750
1119	5122	17747
1120	5128	17744
1121	5131	17735
1122	5140	17745
1123	5145	17742
1124	5148	17733
1125	5156	17741
1126	5160	17733
1127	5165	17730
1128	5172	17735
1129	5176	17727
1130	5180	17721
1131	5184	17714
1132	5187	17706
1133	5191	17697
1134	5193	17686
1135	5199	17684
1136	5203	17679
1137	5206	17669
1138	5209	17659
1139	5214	17654
1140	5219	17651
1141	5222	17641
1142	5224	17631
1143	5229	17625
1144	5234	17622
1145	5237	17612
1146	5240	17602
1147	5244	17597
1148	5250	17596
1149	5253	17589
1150	5257	17582
1151	5262	17579
1152	5267	17574
1153	5270	17566
1154	5276	17567
1155	5282	17564
1156	5285	17555
1157	5293	17561
1158	5298	17559
1159	5301	17550
1160	5305	17542
1161	5308	17534
1162	5314	17533
1163	5318	17526
1164	5320	17515
1165	5323	17504
1166	5329	17503
1167	5333	17499
1168	5336	17489
1169	5339	17478
1170	5344	17476
1171	5349	17471
1172	5352	17462
1173	5355	17451
1174	5359	17447
1175	5365	17446
1176	5368	17436
1177	5371	17426
1178	5375	17421
1179	5380	17418
1180	5383	17408
1181	5386	17399
1182	5390	17392
1183	5395	17389
1184	5398	17380
1185	5401	17370
1186	5404	17361
1187	5412	17365
1188	5415	17357
1189	5418	17348
1190	5422	17341
1191	5427	17338
1192	5430	17330
1193	5433	17320
1194	5436	17310
1195	5442	17310
1196	5446	17303
1197	5449	17294
1198	5452	17284
1199	5456	17280
1200	5461	17277
1201	5464	17267
1202	5467	17258
1203	5472	17254
1204	5477	17250
1205	5480	17240
1206	5483	17231
1207	5487	17226
1208	5492	17223
1209	5496	17215
1210	5499	17205
1211	5503	17199
1212	5508	17197
1213	5511	17188
1214	5514	17179
1215	5517	17169
1216	5522	17166
1217	5526	17160
1218	5530	17152
1219	5532	17142
1220	5540	17146
1221	5544	17141
1222	5548	17134
1223	5553	17131
1224	5558	17130
1225	5563	17124
1226	5565	17114
1227	5574	17123
1228	5578	17116
1229	5581	17106
1230	5589	17114
1231	5593	17106
1232	5596	17099
1233	5605	17107
1234	5609	17101
1235	5613	17093
1236	5620	17098
1237	5624	17092
1238	5629	17088
1239	5646	17122
1240	5653	17124
1241	5657	17118
1242	5662	17115
1243	5672	17127
1244	5676	17120
1245	5681	17118
1246	5686	17115
1247	5690	17107
1248	5694	17100
1249	5699	17097
1250	5703	17093
1251	5707	17085
1252	5711	17078
1253	5720	17089
1254	5724	17082
1255	5727	17072
1256	5732	17068
1257	5736	17064
1258	5740	17056
1259	5743	17047
1260	5747	17043
1261	5753	17041
1262	5756	17032
1263	5759	17022
1264	5763	17017
1265	5769	17015
1266	5772	17007
1267	5775	16998
1268	5779	16993
1269	5784	16989
1270	5787	16980
1271	5790	16970
1272	5794	16965
1273	5800	16963
1274	5803	16955
1275	5806	16945
1276	5808	16935
1277	5816	16938
1278	5819	16930
1279	5822	16922
1280	5826	16915
1281	5839	16934
1282	5844	16932
1283	5849	16929
1284	5853	16922
1285	5856	16913
1286	5861	16909
1287	5865	16905
1288	5868	16896
1289	5871	16887
1290	5876	16882
1291	5880	16878
1292	5884	16869
1293	5886	16860
1294	5890	16851
1295	5894	16846
1296	5898	16840
1297	5901	16831
1298	5904	16822
1299	5909	16819
1300	5914	16814
1301	5917	16806
1302	5920	16797
1303	5924	16792
